word,percentage,occurrences,representations
when,0.0035087719298245615,1,When
jackie,0.007017543859649123,2,Jackie
chan,0.010526315789473684,3,Chan
saw,0.0035087719298245615,1,saw
an,0.010526315789473684,3,an
oscar,0.014035087719298246,4,Oscar
at,0.010526315789473684,3,at
sylvester,0.0035087719298245615,1,Sylvester
stallone's,0.0035087719298245615,1,Stallone's
house,0.0035087719298245615,1,house
23,0.0035087719298245615,1,23
years,0.007017543859649123,2,years
ago,0.0035087719298245615,1,ago
he,0.017543859649122806,5,"he,He"
said,0.007017543859649123,2,said
that,0.0035087719298245615,1,that
was,0.014035087719298246,4,was
the,0.0456140350877193,13,"the,The"
moment,0.0035087719298245615,1,moment
decided,0.0035087719298245615,1,decided
wanted,0.0035087719298245615,1,wanted
one,0.0035087719298245615,1,one
on,0.007017543859649123,2,"On,on"
saturday,0.0035087719298245615,1,Saturday
annual,0.007017543859649123,2,annual
governors,0.0035087719298245615,1,Governors
awards,0.007017543859649123,2,"Awards,awards"
chinese,0.007017543859649123,2,Chinese
actor,0.010526315789473684,3,actor
and,0.03508771929824561,10,and
martial,0.007017543859649123,2,martial
arts,0.010526315789473684,3,"arts,Arts"
star,0.0035087719298245615,1,star
finally,0.007017543859649123,2,finally
received,0.0035087719298245615,1,received
his,0.028070175438596492,8,his
little,0.0035087719298245615,1,little
gold,0.0035087719298245615,1,gold
statuette,0.0035087719298245615,1,statuette
honorary,0.007017543859649123,2,honorary
for,0.010526315789473684,3,for
decades,0.0035087719298245615,1,decades
of,0.010526315789473684,3,of
work,0.007017543859649123,2,work
in,0.007017543859649123,2,in
film,0.010526315789473684,3,film
after,0.007017543859649123,2,"After,after"
56,0.0035087719298245615,1,56
industry,0.0035087719298245615,1,industry
making,0.007017543859649123,2,making
more,0.0035087719298245615,1,more
than,0.0035087719298245615,1,than
200,0.0035087719298245615,1,200
films,0.007017543859649123,2,films
so,0.007017543859649123,2,so
many,0.007017543859649123,2,many
bones,0.007017543859649123,2,bones
62,0.0035087719298245615,1,62
quipped,0.0035087719298245615,1,quipped
star-studded,0.0035087719298245615,1,star-studded
gala,0.0035087719298245615,1,gala
dinner,0.0035087719298245615,1,dinner
while,0.0035087719298245615,1,while
holding,0.0035087719298245615,1,holding
recalled,0.0035087719298245615,1,recalled
watching,0.0035087719298245615,1,watching
ceremony,0.007017543859649123,2,ceremony
with,0.007017543859649123,2,with
parents,0.0035087719298245615,1,parents
father,0.0035087719298245615,1,father
always,0.0035087719298245615,1,always
asking,0.0035087719298245615,1,asking
him,0.010526315789473684,3,him
why,0.0035087719298245615,1,why
didn't,0.0035087719298245615,1,didn't
have,0.0035087719298245615,1,have
hollywood's,0.007017543859649123,2,Hollywood's
top,0.0035087719298245615,1,top
accolade,0.0035087719298245615,1,accolade
despite,0.0035087719298245615,1,despite
having,0.0035087719298245615,1,having
made,0.0035087719298245615,1,made
movies,0.007017543859649123,2,movies
praised,0.0035087719298245615,1,praised
hometown,0.0035087719298245615,1,hometown
hong,0.0035087719298245615,1,Hong
kong,0.0035087719298245615,1,Kong
proud,0.0035087719298245615,1,proud
to,0.021052631578947368,6,to
be,0.007017543859649123,2,be
thanked,0.0035087719298245615,1,thanked
fans,0.0035087719298245615,1,fans
saying,0.0035087719298245615,1,saying
they,0.0035087719298245615,1,they
were,0.007017543859649123,2,were
reason,0.0035087719298245615,1,reason
i,0.0035087719298245615,1,I
continue,0.0035087719298245615,1,continue
make,0.0035087719298245615,1,make
jumping,0.0035087719298245615,1,jumping
through,0.0035087719298245615,1,through
windows,0.0035087719298245615,1,windows
kicking,0.0035087719298245615,1,kicking
punching,0.0035087719298245615,1,punching
breaking,0.0035087719298245615,1,breaking
my,0.0035087719298245615,1,my
introduced,0.0035087719298245615,1,introduced
by,0.007017543859649123,2,by
rush,0.0035087719298245615,1,Rush
hour,0.0035087719298245615,1,Hour
co-star,0.0035087719298245615,1,co-star
chris,0.0035087719298245615,1,Chris
tucker,0.0035087719298245615,1,Tucker
actress,0.0035087719298245615,1,actress
michelle,0.0035087719298245615,1,Michelle
yeoh,0.0035087719298245615,1,Yeoh
tom,0.0035087719298245615,1,Tom
hanks,0.007017543859649123,2,Hanks
who,0.0035087719298245615,1,who
referred,0.0035087719298245615,1,referred
as,0.007017543859649123,2,as
'chantastic',0.0035087719298245615,1,'Chantastic'
it,0.0035087719298245615,1,it
especially,0.0035087719298245615,1,especially
gratifying,0.0035087719298245615,1,gratifying
able,0.0035087719298245615,1,able
acknowledge,0.0035087719298245615,1,acknowledge
chan's,0.0035087719298245615,1,Chan's
because,0.0035087719298245615,1,because
action,0.0035087719298245615,1,action
comedy,0.0035087719298245615,1,comedy
two,0.0035087719298245615,1,two
genres,0.0035087719298245615,1,genres
often,0.0035087719298245615,1,often
overlooked,0.0035087719298245615,1,overlooked
during,0.0035087719298245615,1,during
season,0.0035087719298245615,1,season
academy,0.0035087719298245615,1,Academy
motion,0.0035087719298245615,1,Motion
pictures,0.0035087719298245615,1,Pictures
sciences,0.0035087719298245615,1,Sciences
hosts,0.0035087719298245615,1,hosts
also,0.0035087719298245615,1,also
bestowed,0.0035087719298245615,1,bestowed
oscars,0.0035087719298245615,1,Oscars
british,0.0035087719298245615,1,British
editor,0.0035087719298245615,1,editor
anne,0.0035087719298245615,1,Anne
v,0.0035087719298245615,1,V
coates,0.0035087719298245615,1,Coates
casting,0.007017543859649123,2,casting
director,0.007017543859649123,2,director
lynn,0.0035087719298245615,1,Lynn
stalmaster,0.007017543859649123,2,Stalmaster
prolific,0.0035087719298245615,1,prolific
documentarian,0.0035087719298245615,1,documentarian
frederick,0.0035087719298245615,1,Frederick
wiseman,0.0035087719298245615,1,Wiseman
evening,0.0035087719298245615,1,evening
attended,0.0035087719298245615,1,attended
elite,0.0035087719298245615,1,elite
including,0.0035087719298245615,1,including
denzel,0.0035087719298245615,1,Denzel
washington,0.0035087719298245615,1,Washington
lupita,0.0035087719298245615,1,Lupita
nyong'o,0.0035087719298245615,1,Nyong'o
nicole,0.0035087719298245615,1,Nicole
kidman,0.0035087719298245615,1,Kidman
emma,0.0035087719298245615,1,Emma
stone,0.0035087719298245615,1,Stone
ryan,0.0035087719298245615,1,Ryan
reynolds,0.0035087719298245615,1,Reynolds
amy,0.0035087719298245615,1,Amy
adams,0.0035087719298245615,1,Adams
dev,0.0035087719298245615,1,Dev
patel,0.0035087719298245615,1,Patel
88,0.0035087719298245615,1,88
credited,0.0035087719298245615,1,credited
securing,0.0035087719298245615,1,securing
career-defining,0.0035087719298245615,1,career-defining
roles,0.0035087719298245615,1,roles
actors,0.0035087719298245615,1,actors
such,0.0035087719298245615,1,such
jeff,0.0035087719298245615,1,Jeff
bridges,0.0035087719298245615,1,Bridges
andy,0.0035087719298245615,1,Andy
garcia,0.0035087719298245615,1,Garcia
christopher,0.0035087719298245615,1,Christopher
reeve,0.0035087719298245615,1,Reeve
john,0.0035087719298245615,1,John
travolta,0.0035087719298245615,1,Travolta
is,0.0035087719298245615,1,is
first,0.0035087719298245615,1,first
receive,0.0035087719298245615,1,receive
