letter,percentage,occurrences,representations
C,0.03168313893093521,2135,C
N,0.06148161339150565,4143,N
E,0.05125693764283382,3454,E
G,0.0660522957290832,4451,G
V,0.0529635235805657,3569,V
P,0.028433205710384945,1916,P
H,0.024055441783159708,1621,H
Y,0.031045024189000684,2092,Y
R,0.09447066156174873,6366,R
B,0.0652954619653934,4400,B
Q,0.026147864541596177,1762,Q
S,0.015982548303801976,1077,S
X,0.006262428397590004,422,X
A,0.0572670881191939,3859,A
F,0.05265188614845814,3548,F
O,0.013533968480099724,912,O
Z,0.022586293888938354,1522,Z
',0.003843528329326566,259,'
I,0.008354851156026475,563,I
J,0.00967560027305375,652,J
1,0.010610512569376429,715,1
9,0.01139702608850503,768,9
8,0.0043926038049446475,296,8
U,0.03058498797969905,2061,U
_,0.11302050871100822,7616,_
-,0.008859406998486332,597,-
K,0.004273884783189386,288,K
[,0.01305909239307868,880,[
5,0.003709969429851898,250,5
2,0.004822960258807467,325,2
],0.01305909239307868,880,]
3,0.00363577004125486,245,3
0,0.0101653162377942,685,0
L,0.0134894488469415,909,L
W,0.0010833110735167543,73,W
T,0.01626450598047072,1096,T
D,0.0008607129077256403,58,D
`,0.0018253049594871339,123,`
M,0.0008310331522868252,56,M
4,0.0027008577449321816,182,4
6,0.0042887246609087945,289,6
7,0.00394740747336242,266,7
\,4.4519633158222776e-05,3,\
^,2.9679755438815183e-05,2,^
